prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.9,0.2,0.0,0,10000,4930,5070,4930,5070,4433,4049,1021,497,4433,4049,4433,4049,4930,5070,4930,5070,3980,3271,778,453,4930,5070,4930,5070,3980,3271,1799,950,0.5779,0.5488898083023032,0.8073022312373225
0.5,0,0.9,0.2,0.1,0,10000,4930,5070,4930,5070,4448,4030,1040,482,4448,4030,4448,4030,4462,5538,4462,5538,3622,3613,885,358,4462,5538,4462,5538,3622,3613,1925,840,0.5547,0.5006219765031099,0.8117436127297176
0.5,0,0.9,0.2,0.2,0,10000,4930,5070,4930,5070,4427,4027,1043,503,4427,4027,4427,4027,4013,5987,4013,5987,3177,3958,986,333,4013,5987,4013,5987,3177,3958,2029,836,0.5206,0.4452697967764541,0.7916770495888363
0.5,0,0.9,0.2,0.3,0,10000,4930,5070,4930,5070,4424,4019,1051,506,4424,4019,4424,4019,3598,6402,3598,6402,2785,4252,1099,307,3598,6402,3598,6402,2785,4252,2150,813,0.4935,0.3957652408696888,0.774041133963313
0.5,0,0.9,0.2,0.4,0,10000,4930,5070,4930,5070,4427,4043,1027,503,4427,4043,4427,4043,3126,6874,3126,6874,2344,4686,1161,279,3126,6874,3126,6874,2344,4686,2188,782,0.4532,0.33342816500711236,0.7498400511836213
0.5,0,0.9,0.2,0.5,0,10000,4930,5070,4930,5070,4459,4051,1019,471,4459,4051,4459,4051,2661,7339,2661,7339,1987,5032,1288,203,2661,7339,2661,7339,1987,5032,2307,674,0.4294,0.28308875908249037,0.7467117624953025
0.5,0,0.9,0.2,0.6,0,10000,4930,5070,4930,5070,4428,4035,1035,502,4428,4035,4428,4035,2271,7729,2271,7729,1634,5426,1268,135,2271,7729,2271,7729,1634,5426,2303,637,0.3937,0.23144475920679886,0.7195068251871423
0.5,0,0.9,0.2,0.7,0,10000,4930,5070,4930,5070,4472,4007,1063,458,4472,4007,4472,4007,1810,8190,1810,8190,1223,5695,1432,129,1810,8190,1810,8190,1223,5695,2495,587,0.3718,0.1767851980341139,0.6756906077348066
0.5,0,0.9,0.2,0.8,0,10000,4930,5070,4930,5070,4420,4086,984,510,4420,4086,4420,4086,1405,8595,1405,8595,807,6058,1553,88,1405,8595,1405,8595,807,6058,2537,598,0.3344,0.11755280407865987,0.5743772241992883
0.5,0,0.9,0.2,0.9,0,10000,4930,5070,4930,5070,4462,4055,1015,468,4462,4055,4462,4055,903,9097,903,9097,387,6462,1620,48,903,9097,903,9097,387,6462,2635,516,0.3022,0.056504599211563734,0.42857142857142855
0.5,0,0.9,0.2,1.0,0,10000,4930,5070,4930,5070,4437,4081,989,493,4437,4081,4437,4081,493,9507,493,9507,0,6867,1651,0,493,9507,493,9507,0,6867,2640,493,0.264,0.0,0.0
0.5,0,0.8,0.3,0.0,0,10000,4930,5070,4930,5070,3900,3531,1539,1030,3900,3531,3900,3531,4930,5070,4930,5070,3107,2453,1078,793,4930,5070,4930,5070,3107,2453,2617,1823,0.5724,0.5588129496402877,0.6302231237322515
0.5,0,0.8,0.3,0.1,0,10000,4930,5070,4930,5070,3965,3547,1523,965,3965,3547,3965,3547,4532,5468,4532,5468,2874,2719,1226,693,4532,5468,4532,5468,2874,2719,2749,1658,0.5623,0.5138566064723762,0.6341571050308914
0.5,0,0.8,0.3,0.2,0,10000,4930,5070,4930,5070,3963,3593,1477,967,3963,3593,3963,3593,4140,5860,4140,5860,2514,3033,1350,659,4140,5860,4140,5860,2514,3033,2827,1626,0.5341,0.45321795565170364,0.6072463768115942
0.5,0,0.8,0.3,0.3,0,10000,4930,5070,4930,5070,3945,3562,1508,985,3945,3562,3945,3562,3756,6244,3756,6244,2212,3337,1399,559,3756,6244,3756,6244,2212,3337,2907,1544,0.5119,0.39863038385294647,0.5889243876464324
0.5,0,0.8,0.3,0.4,0,10000,4930,5070,4930,5070,3960,3538,1532,970,3960,3538,3960,3538,3308,6692,3308,6692,1908,3610,1550,430,3308,6692,3308,6692,1908,3610,3082,1400,0.499,0.345777455599855,0.5767835550181378
0.5,0,0.8,0.3,0.5,0,10000,4930,5070,4930,5070,3969,3595,1475,961,3969,3595,3969,3595,2957,7043,2957,7043,1606,3860,1708,390,2957,7043,2957,7043,1606,3860,3183,1351,0.4789,0.2938163190633004,0.5431180250253635
0.5,0,0.8,0.3,0.6,0,10000,4930,5070,4930,5070,3981,3530,1540,949,3981,3530,3981,3530,2572,7428,2572,7428,1294,4149,1739,329,2572,7428,2572,7428,1294,4149,3279,1278,0.4573,0.23773654234796987,0.5031104199066874
0.5,0,0.8,0.3,0.7,0,10000,4930,5070,4930,5070,3967,3559,1511,963,3967,3559,3967,3559,2159,7841,2159,7841,949,4489,1841,247,2159,7841,2159,7841,949,4489,3352,1210,0.4301,0.17451268848841486,0.43955534969893467
0.5,0,0.8,0.3,0.8,0,10000,4930,5070,4930,5070,3939,3552,1518,991,3939,3552,3939,3552,1746,8254,1746,8254,604,4686,2050,151,1746,8254,1746,8254,604,4686,3568,1142,0.4172,0.11417769376181475,0.3459335624284078
0.5,0,0.8,0.3,0.9,0,10000,4930,5070,4930,5070,3917,3494,1576,1013,3917,3494,3917,3494,1426,8574,1426,8574,327,4886,2112,86,1426,8574,1426,8574,327,4886,3688,1099,0.4015,0.06272779589487819,0.22931276297335204
0.5,0,0.8,0.3,1.0,0,10000,4930,5070,4930,5070,3955,3611,1459,975,3955,3611,3955,3611,975,9025,975,9025,0,5281,2285,0,975,9025,975,9025,0,5281,3744,975,0.3744,0.0,0.0
0.5,0,0.7,0.4,0.0,0,10000,4930,5070,4930,5070,3449,3021,2049,1481,3449,3021,3449,3021,4930,5070,4930,5070,2465,1777,1244,984,4930,5070,4930,5070,2465,1777,3293,2465,0.5758,0.581093823668081,0.5
0.5,0,0.7,0.4,0.1,0,10000,4930,5070,4930,5070,3449,2991,2079,1481,3449,2991,3449,2991,4615,5385,4615,5385,2191,1992,1314,943,4615,5385,4615,5385,2191,1992,3393,2424,0.5584,0.5237867559168061,0.47475622968580716
0.5,0,0.7,0.4,0.2,0,10000,4930,5070,4930,5070,3434,3015,2055,1496,3434,3015,3434,3015,4289,5711,4289,5711,1955,2208,1448,838,4289,5711,4289,5711,1955,2208,3503,2334,0.5458,0.4696132596685083,0.4558172068081138
0.5,0,0.7,0.4,0.3,0,10000,4930,5070,4930,5070,3484,3013,2057,1446,3484,3013,3484,3013,3896,6104,3896,6104,1742,2392,1655,708,3896,6104,3896,6104,1742,2392,3712,2154,0.5454,0.42138364779874216,0.4471252566735113
0.5,0,0.7,0.4,0.4,0,10000,4930,5070,4930,5070,3530,3069,2001,1400,3530,3069,3530,3069,3507,6493,3507,6493,1461,2685,1807,646,3507,6493,3507,6493,1461,2685,3808,2046,0.5269,0.35238784370477566,0.41659538066723695
0.5,0,0.7,0.4,0.5,0,10000,4930,5070,4930,5070,3467,3107,1963,1463,3467,3107,3467,3107,3185,6815,3185,6815,1244,2935,1917,478,3185,6815,3185,6815,1244,2935,3880,1941,0.5124,0.29767887054319214,0.3905808477237049
0.5,0,0.7,0.4,0.6,0,10000,4930,5070,4930,5070,3475,3097,1973,1455,3475,3097,3475,3097,2849,7151,2849,7151,969,3077,2101,425,2849,7151,2849,7151,969,3077,4074,1880,0.5043,0.23949579831932774,0.34011934011934014
0.5,0,0.7,0.4,0.7,0,10000,4930,5070,4930,5070,3444,3074,1996,1486,3444,3074,3444,3074,2532,7468,2532,7468,740,3310,2162,306,2532,7468,2532,7468,740,3310,4158,1792,0.4898,0.18271604938271604,0.292259083728278
0.5,0,0.7,0.4,0.8,0,10000,4930,5070,4930,5070,3418,2997,2073,1512,3418,2997,3418,2997,2174,7826,2174,7826,454,3433,2320,208,2174,7826,2174,7826,454,3433,4393,1720,0.4847,0.11679958837149472,0.20883164673413063
0.5,0,0.7,0.4,0.9,0,10000,4930,5070,4930,5070,3522,3103,1967,1408,3522,3103,3522,3103,1757,8243,1757,8243,241,3703,2573,108,1757,8243,1757,8243,241,3703,4540,1516,0.4781,0.06110547667342799,0.1371656232214001
0.5,0,0.7,0.4,1.0,0,10000,4930,5070,4930,5070,3479,3020,2050,1451,3479,3020,3479,3020,1451,8549,1451,8549,0,3901,2598,0,1451,8549,1451,8549,0,3901,4648,1451,0.4648,0.0,0.0
0.5,0,0.6,0.5,0.0,0,10000,4930,5070,4930,5070,2916,2494,2576,2014,2916,2494,2916,2494,4930,5070,4930,5070,1753,1277,1217,1163,4930,5070,4930,5070,1753,1277,3793,3177,0.5546,0.5785478547854785,0.35557809330628803
0.5,0,0.6,0.5,0.1,0,10000,4930,5070,4930,5070,2998,2570,2500,1932,2998,2570,2998,2570,4628,5372,4628,5372,1619,1463,1409,1077,4628,5372,4628,5372,1619,1463,3909,3009,0.5528,0.5253082414016872,0.34982713915298186
0.5,0,0.6,0.5,0.2,0,10000,4930,5070,4930,5070,2971,2542,2528,1959,2971,2542,2971,2542,4343,5657,4343,5657,1456,1550,1579,928,4343,5657,4343,5657,1456,1550,4107,2887,0.5563,0.48436460412508314,0.3352521298641492
0.5,0,0.6,0.5,0.3,0,10000,4930,5070,4930,5070,2913,2498,2572,2017,2913,2498,2913,2498,4073,5927,4073,5927,1240,1697,1658,816,4073,5927,4073,5927,1240,1697,4230,2833,0.547,0.42219952332311883,0.30444389884605944
0.5,0,0.6,0.5,0.4,0,10000,4930,5070,4930,5070,2968,2515,2555,1962,2968,2515,2968,2515,3742,6258,3742,6258,1089,1824,1879,691,3742,6258,3742,6258,1089,1824,4434,2653,0.5523,0.37384140061791965,0.2910208444681988
0.5,0,0.6,0.5,0.5,0,10000,4930,5070,4930,5070,2990,2522,2548,1940,2990,2522,2990,2522,3412,6588,3412,6588,875,2029,2011,597,3412,6588,3412,6588,875,2029,4559,2537,0.5434,0.3013085399449036,0.2564478311840563
0.5,0,0.6,0.5,0.6,0,10000,4930,5070,4930,5070,2986,2500,2570,1944,2986,2500,2986,2500,3152,6848,3152,6848,730,2103,2175,478,3152,6848,3152,6848,730,2103,4745,2422,0.5475,0.2576773738086834,0.2315989847715736
0.5,0,0.6,0.5,0.7,0,10000,4930,5070,4930,5070,2980,2507,2563,1950,2980,2507,2980,2507,2868,7132,2868,7132,552,2306,2263,366,2868,7132,2868,7132,552,2306,4826,2316,0.5378,0.19314205738278517,0.19246861924686193
0.5,0,0.6,0.5,0.8,0,10000,4930,5070,4930,5070,2964,2473,2597,1966,2964,2473,2964,2473,2535,7465,2535,7465,331,2479,2389,238,2535,7465,2535,7465,331,2479,4986,2204,0.5317,0.11779359430604983,0.13057199211045364
