prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.9899494936611666,0.02,0.0,0,10000,4930,5070,4930,5070,4885,4967,103,45,4885,4967,4885,4967,4930,5070,4930,5070,4835,4877,90,50,4930,5070,4930,5070,4835,4877,193,95,0.5028,0.49783772652388797,0.9807302231237323
0.5,0,0.9899494936611666,0.02,0.1,0,10000,4930,5070,4930,5070,4885,4956,114,45,4885,4956,4885,4956,4446,5554,4446,5554,4354,5333,107,47,4446,5554,4446,5554,4354,5333,221,92,0.4575,0.4494683596572726,0.9793072424651372
0.5,0,0.9899494936611666,0.02,0.2,0,10000,4930,5070,4930,5070,4881,4976,94,49,4881,4976,4881,4976,3954,6046,3954,6046,3867,5823,129,38,3954,6046,3954,6046,3867,5823,223,87,0.409,0.3990712074303406,0.9779969650986343
0.5,0,0.9899494936611666,0.02,0.3,0,10000,4930,5070,4930,5070,4863,4973,97,67,4863,4973,4863,4973,3478,6522,3478,6522,3372,6299,126,39,3478,6522,3478,6522,3372,6299,223,106,0.3595,0.3486712852859063,0.9695227142035653
0.5,0,0.9899494936611666,0.02,0.4,0,10000,4930,5070,4930,5070,4901,4974,96,29,4901,4974,4901,4974,3000,7000,3000,7000,2937,6776,128,34,3000,7000,3000,7000,2937,6776,224,63,0.3161,0.3023782559456399,0.979
0.5,0,0.9899494936611666,0.02,0.5,0,10000,4930,5070,4930,5070,4874,4963,107,56,4874,4963,4874,4963,2466,7534,2466,7534,2387,7264,163,23,2466,7534,2466,7534,2387,7264,270,79,0.2657,0.24733188270645529,0.9679643146796432
0.5,0,0.9899494936611666,0.02,0.6,0,10000,4930,5070,4930,5070,4865,4965,105,65,4865,4965,4865,4965,2064,7936,2064,7936,1979,7676,155,20,2064,7936,2064,7936,1979,7676,260,85,0.2239,0.2049715173485241,0.9588178294573644
0.5,0,0.9899494936611666,0.02,0.7,0,10000,4930,5070,4930,5070,4879,4967,103,51,4879,4967,4879,4967,1547,8453,1547,8453,1480,8163,187,16,1547,8453,1547,8453,1480,8163,290,67,0.177,0.15347920771544124,0.9566903684550744
0.5,0,0.9899494936611666,0.02,0.8,0,10000,4930,5070,4930,5070,4872,4973,97,58,4872,4973,4872,4973,1042,8958,1042,8958,969,8693,168,15,1042,8958,1042,8958,969,8693,265,73,0.1234,0.10028979507348375,0.9299424184261037
0.5,0,0.9899494936611666,0.02,0.9,0,10000,4930,5070,4930,5070,4893,4962,108,37,4893,4962,4893,4962,495,9505,495,9505,457,9201,196,1,495,9505,495,9505,457,9201,304,38,0.0761,0.047318285359287636,0.9232323232323232
0.5,0,0.9899494936611666,0.02,1.0,0,10000,4930,5070,4930,5070,4877,4976,94,53,4877,4976,4877,4976,53,9947,53,9947,0,9663,190,0,53,9947,53,9947,0,9663,284,53,0.0284,0.0,0.0
0.5,0,0.9848857801796105,0.03,0.0,0,10000,4930,5070,4930,5070,4855,4928,142,75,4855,4928,4855,4928,4930,5070,4930,5070,4782,4766,162,73,4930,5070,4930,5070,4782,4766,304,148,0.5086,0.5008378718056138,0.9699797160243407
0.5,0,0.9848857801796105,0.03,0.1,0,10000,4930,5070,4930,5070,4865,4903,167,65,4865,4903,4865,4903,4461,5539,4461,5539,4334,5233,139,62,4461,5539,4461,5539,4334,5233,306,127,0.464,0.453015574370231,0.971531046850482
0.5,0,0.9848857801796105,0.03,0.2,0,10000,4930,5070,4930,5070,4866,4942,128,64,4866,4942,4866,4942,3934,6066,3934,6066,3817,5735,203,53,3934,6066,3934,6066,3817,5735,331,117,0.4148,0.3996021775544389,0.9702592780884596
0.5,0,0.9848857801796105,0.03,0.3,0,10000,4930,5070,4930,5070,4852,4918,152,78,4852,4918,4852,4918,3490,6510,3490,6510,3359,6151,207,53,3490,6510,3490,6510,3359,6151,359,131,0.3718,0.35320715036803363,0.9624641833810889
0.5,0,0.9848857801796105,0.03,0.4,0,10000,4930,5070,4930,5070,4847,4924,146,83,4847,4924,4847,4924,2930,7070,2930,7070,2804,6733,191,43,2930,7070,2930,7070,2804,6733,337,126,0.3141,0.29401279228268845,0.9569965870307168
0.5,0,0.9848857801796105,0.03,0.5,0,10000,4930,5070,4930,5070,4840,4918,152,90,4840,4918,4840,4918,2531,7469,2531,7469,2395,7104,213,46,2531,7469,2531,7469,2395,7104,365,136,0.276,0.25213180334772084,0.9462662979059661
0.5,0,0.9848857801796105,0.03,0.6,0,10000,4930,5070,4930,5070,4863,4926,144,67,4863,4926,4863,4926,1965,8035,1965,8035,1880,7631,260,18,1965,8035,1965,8035,1880,7631,404,85,0.2284,0.19766586058248345,0.9567430025445293
0.5,0,0.9848857801796105,0.03,0.7,0,10000,4930,5070,4930,5070,4846,4924,146,84,4846,4924,4846,4924,1530,8470,1530,8470,1416,8058,266,30,1530,8470,1530,8470,1416,8058,412,114,0.1828,0.14946168461051298,0.9254901960784314
0.5,0,0.9848857801796105,0.03,0.8,0,10000,4930,5070,4930,5070,4851,4928,142,79,4851,4928,4851,4928,1045,8955,1045,8955,955,8584,229,11,1045,8955,1045,8955,955,8584,371,90,0.1326,0.10011531607086696,0.9138755980861244
0.5,0,0.9848857801796105,0.03,0.9,0,10000,4930,5070,4930,5070,4852,4939,131,78,4852,4939,4852,4939,591,9409,591,9409,509,9014,264,4,591,9409,591,9409,509,9014,395,82,0.0904,0.05344954321117295,0.8612521150592216
0.5,0,0.9848857801796105,0.03,1.0,0,10000,4930,5070,4930,5070,4861,4915,155,69,4861,4915,4861,4915,69,9931,69,9931,0,9476,300,0,69,9931,69,9931,0,9476,455,69,0.0455,0.0,0.0
0.5,0,0.9797958971132712,0.04,0.0,0,10000,4930,5070,4930,5070,4817,4869,201,113,4817,4869,4817,4869,4930,5070,4930,5070,4722,4656,213,95,4930,5070,4930,5070,4722,4656,414,208,0.5136,0.5035188739603327,0.9578093306288032
0.5,0,0.9797958971132712,0.04,0.1,0,10000,4930,5070,4930,5070,4828,4884,186,102,4828,4884,4828,4884,4448,5552,4448,5552,4253,5145,221,93,4448,5552,4448,5552,4253,5145,407,195,0.466,0.45254309427537776,0.956160071942446
0.5,0,0.9797958971132712,0.04,0.2,0,10000,4930,5070,4930,5070,4829,4886,184,101,4829,4886,4829,4886,3994,6006,3994,6006,3827,5599,223,66,3994,6006,3994,6006,3827,5599,407,167,0.4234,0.40600466793974116,0.9581872809213821
0.5,0,0.9797958971132712,0.04,0.3,0,10000,4930,5070,4930,5070,4828,4862,208,102,4828,4862,4828,4862,3514,6486,3514,6486,3337,6022,256,75,3514,6486,3514,6486,3337,6022,464,177,0.3801,0.3565551875200342,0.9496300512236767
0.5,0,0.9797958971132712,0.04,0.4,0,10000,4930,5070,4930,5070,4841,4866,204,89,4841,4866,4841,4866,2961,7039,2961,7039,2817,6570,265,55,2961,7039,2961,7039,2817,6570,469,144,0.3286,0.3000958772770853,0.9513677811550152
0.5,0,0.9797958971132712,0.04,0.5,0,10000,4930,5070,4930,5070,4832,4883,187,98,4832,4883,4832,4883,2498,7502,2498,7502,2348,7012,303,52,2498,7502,2498,7502,2348,7012,490,150,0.2838,0.25085470085470085,0.9399519615692554
0.5,0,0.9797958971132712,0.04,0.6,0,10000,4930,5070,4930,5070,4842,4893,177,88,4842,4893,4842,4893,2036,7964,2036,7964,1911,7486,301,37,2036,7964,2036,7964,1911,7486,478,125,0.2389,0.20336277535383632,0.9386051080550099
0.5,0,0.9797958971132712,0.04,0.7,0,10000,4930,5070,4930,5070,4839,4861,209,91,4839,4861,4839,4861,1487,8513,1487,8513,1370,7979,325,26,1487,8513,1487,8513,1370,7979,534,117,0.1904,0.1465397368702535,0.9213180901143242
0.5,0,0.9797958971132712,0.04,0.8,0,10000,4930,5070,4930,5070,4829,4872,198,101,4829,4872,4829,4872,1086,8914,1086,8914,966,8371,345,19,1086,8914,1086,8914,966,8371,543,120,0.1509,0.10345935525329335,0.8895027624309392
0.5,0,0.9797958971132712,0.04,0.9,0,10000,4930,5070,4930,5070,4829,4865,205,101,4829,4865,4829,4865,627,9373,627,9373,514,8812,356,12,627,9373,627,9373,514,8812,561,113,0.1075,0.055114733004503536,0.8197767145135566
0.5,0,0.9797958971132712,0.04,1.0,0,10000,4930,5070,4930,5070,4852,4870,200,78,4852,4870,4852,4870,78,9922,78,9922,0,9341,381,0,78,9922,78,9922,0,9341,581,78,0.0581,0.0,0.0
0.5,0,0.9746794344808963,0.05,0.0,0,10000,4930,5070,4930,5070,4806,4808,262,124,4806,4808,4806,4808,4930,5070,4930,5070,4687,4565,243,119,4930,5070,4930,5070,4687,4565,505,243,0.5192,0.5065931690445309,0.950709939148073
0.5,0,0.9746794344808963,0.05,0.1,0,10000,4930,5070,4930,5070,4792,4804,266,138,4792,4804,4792,4804,4424,5576,4424,5576,4169,5032,278,117,4424,5576,4424,5576,4169,5032,544,255,0.4713,0.4531029235952614,0.9423598553345389
0.5,0,0.9746794344808963,0.05,0.2,0,10000,4930,5070,4930,5070,4799,4798,272,131,4799,4798,4799,4798,3991,6009,3991,6009,3788,5441,296,72,3991,6009,3991,6009,3788,5441,568,203,0.4356,0.41044533535594324,0.9491355549987471
0.5,0,0.9746794344808963,0.05,0.3,0,10000,4930,5070,4930,5070,4792,4835,235,138,4792,4835,4792,4835,3482,6518,3482,6518,3251,5991,292,93,3482,6518,3482,6518,3251,5991,527,231,0.3778,0.3517636875135252,0.9336588167719702
0.5,0,0.9746794344808963,0.05,0.4,0,10000,4930,5070,4930,5070,4795,4813,257,135,4795,4813,4795,4813,3041,6959,3041,6959,2839,6301,401,67,3041,6959,3041,6959,2839,6301,658,202,0.3497,0.31061269146608317,0.9335744820782638
0.5,0,0.9746794344808963,0.05,0.5,0,10000,4930,5070,4930,5070,4790,4826,244,140,4790,4826,4790,4826,2584,7416,2584,7416,2375,6834,338,69,2584,7416,2584,7416,2375,6834,582,209,0.2957,0.25789988055163426,0.9191176470588235
0.5,0,0.9746794344808963,0.05,0.6,0,10000,4930,5070,4930,5070,4806,4800,270,124,4806,4800,4806,4800,2043,7957,2043,7957,1866,7312,375,53,2043,7957,2043,7957,1866,7312,645,177,0.2511,0.20331226846807585,0.9133627019089574
0.5,0,0.9746794344808963,0.05,0.7,0,10000,4930,5070,4930,5070,4811,4824,246,119,4811,4824,4811,4824,1595,8405,1595,8405,1436,7758,401,40,1595,8405,1595,8405,1436,7758,647,159,0.2083,0.1561888187948662,0.9003134796238245
