prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.0005505203133840615,0.9999996969273846,1,0,10000,2912,7088,2037,4996,2,0,7088,2910,2,0,1,0,2910,7090,2036,4997,0,0,2,0,2910,7090,2036,4997,0,0,7090,2910,0.709,err,0.0
0.5,0,0.003722225938658234,0.9999861450340616,1,0,10000,2912,7088,2037,4996,6,0,7088,2906,6,0,5,0,2906,7094,2032,5001,0,0,6,0,2906,7094,2032,5001,0,0,7094,2906,0.7094,err,0.0
0.5,0,0.0017902505095335813,0.9999967950031131,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,2,0,2909,7091,2035,4998,0,0,3,0,2909,7091,2035,4998,0,0,7091,2909,0.7091,err,0.0
0.5,0,0.0004708449551867173,0.9999997783050282,1,0,10000,2912,7088,2037,4996,1,0,7088,2911,1,0,1,0,2911,7089,2036,4997,0,0,1,0,2911,7089,2036,4997,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.0008267868597138567,0.9999993164234886,1,0,10000,2912,7088,2037,4996,2,0,7088,2910,2,0,2,0,2910,7090,2035,4998,0,0,2,0,2910,7090,2035,4998,0,0,7090,2910,0.709,err,0.0
0.5,0,0.0010989567590903668,0.9999987922940416,1,0,10000,2912,7088,2037,4996,4,0,7088,2908,4,0,2,0,2908,7092,2035,4998,0,0,4,0,2908,7092,2035,4998,0,0,7092,2908,0.7092,err,0.0
0.5,0,0.0008404218392195551,0.9999992936911322,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,2,0,2909,7091,2035,4998,0,0,3,0,2909,7091,2035,4998,0,0,7091,2909,0.7091,err,0.0
0.5,0,0.004806429040519233,0.9999768982398785,1,0,10000,2912,7088,2037,4996,13,0,7088,2899,13,0,9,0,2899,7101,2028,5005,0,0,13,0,2899,7101,2028,5005,0,0,7101,2899,0.7101,err,0.0
0.5,0,0.0010087095026869932,0.9999989825051392,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,3,0,2909,7091,2034,4999,0,0,3,0,2909,7091,2034,4999,0,0,7091,2909,0.7091,err,0.0
0.5,0,0.0076491813122124865,0.9999414900252529,1,0,10000,2912,7088,2037,4996,13,0,7088,2899,13,0,9,0,2899,7101,2028,5005,0,0,13,0,2899,7101,2028,5005,0,0,7101,2899,0.7101,err,0.0
0.5,0,0.0012577954402920517,0.9999984179506304,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,3,0,2909,7091,2034,4999,0,0,3,0,2909,7091,2034,4999,0,0,7091,2909,0.7091,err,0.0
0.5,0,0.011222053380869736,0.9998740655179169,1,0,10000,2912,7088,2037,4996,46,1,7087,2866,46,1,31,1,2866,7134,2006,5027,0,0,47,0,2866,7134,2006,5027,0,0,7134,2866,0.7134,err,0.0
0.5,0,0.001176619254384668,0.9999986155671302,1,0,10000,2912,7088,2037,4996,3,0,7088,2909,3,0,2,0,2909,7091,2035,4998,0,0,3,0,2909,7091,2035,4998,0,0,7091,2909,0.7091,err,0.0
0.5,0,0.04134329319732795,0.9982907321075998,1,0,10000,2912,7088,2037,4996,103,14,7074,2809,103,14,72,9,2809,7191,1965,5068,0,2,115,0,2809,7191,1965,5068,0,2,7189,2809,0.7189,0.0,0.0
0.5,0,0.00044161417866058806,0.9999998049769172,1,0,10000,2912,7088,2037,4996,0,0,7088,2912,0,0,0,0,2912,7088,2037,4996,0,0,0,0,2912,7088,2037,4996,0,0,7088,2912,0.7088,err,0.0
0.5,0,0.00022910061837164803,0.9999999475129067,1,0,10000,2912,7088,2037,4996,1,0,7088,2911,1,0,1,0,2911,7089,2036,4997,0,0,1,0,2911,7089,2036,4997,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.0027079730566099713,0.9999926668819247,1,0,10000,2912,7088,2037,4996,11,0,7088,2901,11,0,11,0,2901,7099,2026,5007,0,0,11,0,2901,7099,2026,5007,0,0,7099,2901,0.7099,err,0.0
0.5,0,0.001447434757395688,0.9999979049326231,1,0,10000,2912,7088,2037,4996,5,0,7088,2907,5,0,3,0,2907,7093,2034,4999,0,0,5,0,2907,7093,2034,4999,0,0,7093,2907,0.7093,err,0.0
0.5,0,0.0005003644107462451,0.9999997496354565,1,0,10000,2912,7088,2037,4996,2,0,7088,2910,2,0,1,0,2910,7090,2036,4997,0,0,2,0,2910,7090,2036,4997,0,0,7090,2910,0.709,err,0.0
0.5,0,0.002868453295418817,0.999991771975692,1,0,10000,2912,7088,2037,4996,12,0,7088,2900,12,0,9,0,2900,7100,2028,5005,0,0,12,0,2900,7100,2028,5005,0,0,7100,2900,0.71,err,0.0
0.5,0,0.002221293052577742,0.9999950658571746,1,0,10000,2912,7088,2037,4996,5,0,7088,2907,5,0,3,0,2907,7093,2034,4999,0,0,5,0,2907,7093,2034,4999,0,0,7093,2907,0.7093,err,0.0
0.5,0,0.0008577811640098378,0.9999992642114747,1,0,10000,2912,7088,2037,4996,4,0,7088,2908,4,0,4,0,2908,7092,2033,5000,0,0,4,0,2908,7092,2033,5000,0,0,7092,2908,0.7092,err,0.0
0.5,0,0.0022041606757287717,0.9999951416757156,1,0,10000,2912,7088,2037,4996,1,1,7087,2911,1,1,1,1,2911,7089,2036,4997,0,0,2,0,2911,7089,2036,4997,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.0028548913826887154,0.999991849595193,1,0,10000,2912,7088,2037,4996,8,0,7088,2904,8,0,6,0,2904,7096,2031,5002,0,0,8,0,2904,7096,2031,5002,0,0,7096,2904,0.7096,err,0.0
0.5,0,0.0011253638230438213,0.9999987335562658,1,0,10000,2912,7088,2037,4996,1,0,7088,2911,1,0,1,0,2911,7089,2036,4997,0,0,1,0,2911,7089,2036,4997,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.0008194657626011709,0.9999993284758639,1,0,10000,2912,7088,2037,4996,1,0,7088,2911,1,0,1,0,2911,7089,2036,4997,0,0,1,0,2911,7089,2036,4997,0,0,7089,2911,0.7089,err,0.0
0.5,0,0.004708836512361887,0.9999778268586998,1,0,10000,2912,7088,2037,4996,17,0,7088,2895,17,0,12,0,2895,7105,2025,5008,0,0,17,0,2895,7105,2025,5008,0,0,7105,2895,0.7105,err,0.0
