,Recall Values
69,72.8 72.0 46.6 74.1 73.2 73.8 72.1 73.9 74.0 69.6 75.0 81.3 86.1 94.9 81.3 87.3
70,21.73 92.04 87.51 85.75 97.79 72.76 75.20 88.51 67.49 90.89 94.85 70.22 97.08 78.38 88.06 86.46 92.04 95.58 95.05 97.79 87.23 88.94 88.51 88.79 89.22 94.85 54.05 70.27 78.38 87.74 83.60 92.04 96.06 95.58 97.79 83.40 80.85 88.51 86.64 92.24 94.85 48.65 73.68 78.38
72,100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 96 96 100 96 96 100 96 96 100 96 96 100 96 96 100 96 96 100 96 96 100 96 96
73,39.5 28.7 65.96 76.62 62.73 74.61 76.25 75.08
75,59.2 71.4 72.39 77.24 79.31 71.74 45.3 24.1 76.6 78.6
78,45.86 57.26 74.46 84.46 56.78 67.82 63.76 77.83 57.80 57.94 80.65 87.94 80.48 84.46 55.38 77.83 78.61 87.94
79,31.49 58.88 71.24 61.40 86.50 81.89 81.37
82,88.0 90.0 90.0 95.0 94.0 93.0 98.0 98.00  93.0 95.0 96.0 98.0 94.0 95.0 98.0 98
83,60 50
84,35.1 62.9 66.1 69.4 61.1 59.2 23.5 11.6 54.8 63.6 8.2 52.5 58.1 62.9
85,50.3 75.9 81.4 85.1 17.9 3.4 36.7 6.14 10.8 27.2
86,88.57 87.27 86.37 86.83 83.94 97.24 82.03 91.77 90.26 82.96
88,39.46 21.08 68.87 69.03 75.15 70.89 75.89 12.2 16.13 40.23 29.23 70.16 57.23 72.77 75.89 72.77 65.94 68.69 75.44 67.29
89,99 99.49 99 99.90 98.50 99 96 99  98
90,6.65 2.80 27.96 28.58 15.29 43.47 46.68 66.86 32.26 65.52 54.81 60.32 66.86 67.11 64.48 70.59 66.86 62.85 70.04 68.33 65.61 66.86 62.72 31.59 66.86
91,53.48 94.93 53.45 94.95 70.62 92.36 87.39 97.85 82 89 86 90 92
