first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.11035,1.1035,1.5801980198019803,0.49412915851272016,0.7231536021748981,1.463491052322269,-0.10349999999999993,1,0.5,0.4,0.5,0.0,20000,1937,18063,1937,18063,1034,10789,7167,1010,972,10851,972,10851,1451,18549,1451,18549,11823,5898,5925,0,0,8177,611,6472,4154,586,11823,486,11337,0,0,0,0,611,6472,11321,1596,0.0847457627118644,0.8780487804878049,600.2542372881355,6482.745762711865,11341.756097560976,1575.2439024390244,-0.08774906986357989,0.5966,0.08626288295919808,0.27684639782510195
0.1,0.10775,1.0775,1.5950668036998972,0.4914141414141414,0.720185614849188,1.4655370168565183,-0.0774999999999999,1,0.5,0.4,0.7,0.0,20000,1937,18063,1937,18063,1007,10797,7223,973,947,10857,947,10857,1257,18743,1257,18743,11804,8331,3473,0,0,8196,603,6487,4135,579,11804,267,11537,0,0,0,0,603,6487,11358,1552,0.0847457627118644,0.8780487804878049,600.8474576271186,6489.152542372882,11335.609756097561,1574.390243902439,-0.0876188507647786,0.59805,0.085049365303244,0.2798143851508121
0.1,0.1107,1.107,1.5701668302257115,0.4987763093489966,0.7226738934056007,1.4488937823627501,-0.10699999999999998,1,0.5,0.4,0.9,0.0,20000,1937,18063,1937,18063,1024,10830,7127,1019,971,10883,971,10883,1069,18931,1069,18931,11854,10626,1228,0,0,8146,614,6399,4260,581,11854,103,11751,0,0,0,0,614,6399,11387,1600,0.0847457627118644,0.8780487804878049,594.3220338983051,6418.677966101695,11403.219512195123,1583.780487804878,-0.08905126085159143,0.60005,0.0875516897190931,0.27732610659439927
0.1,0.10915,1.0915,1.5932203389830508,0.5032614149523331,0.7320201557489693,1.4545525128690886,-0.09149999999999991,1,0.5,0.4,1,0.0,20000,1937,18063,1937,18063,990,10773,7234,1003,954,10809,954,10809,983,19017,983,19017,11763,11763,0,0,0,8237,585,6465,4118,595,11763,0,11763,0,0,0,0,585,6465,11352,1598,0.0847457627118644,0.8780487804878049,597.457627118644,6452.542372881356,11370.731707317073,1579.2682926829268,-0.08836295990078535,0.59685,0.08297872340425531,0.2679798442510307
0.1,0.0895,0.8949999999999999,1.5203045685279188,0.4087136929460581,0.6692737430167598,1.6375124067719706,0.1050000000000001,1,0.5981410138581807,0.49814101385818077,0.5,0.0,20000,1937,18063,1937,18063,1140,9155,8917,788,1183,9112,1183,9112,1332,18668,1332,18668,10295,5191,5104,0,0,9705,592,4659,4634,410,10295,578,9717,0,0,0,0,592,4659,13551,1198,0.11694154356608674,0.9177382911928125,614.0600452655215,4636.939954734478,13535.722056802791,1213.2779431972087,0.08633100576863495,0.70715,0.11274043039421063,0.3307262569832402
0.1,0.08705,0.8704999999999999,1.5,0.39939485627836613,0.6823664560597358,1.708500861573808,0.12950000000000006,1,0.5981410138581807,0.49814101385818077,0.7,0.0,20000,1937,18063,1937,18063,1191,8959,9058,792,1149,9001,1149,9001,1139,18861,1139,18861,10150,7158,2992,0,0,9850,553,4504,4697,396,10150,351,9799,0,0,0,0,553,4504,13755,1188,0.11694154356608674,0.9177382911928125,591.3733858137007,4465.626614186299,13713.763285294197,1229.2367147058033,0.08969494974024816,0.7154,0.10935337156416848,0.3176335439402642
0.1,0.09155,0.9155,1.49338146811071,0.41467065868263475,0.6777717094483888,1.6344819563592914,0.08450000000000002,1,0.5981410138581807,0.49814101385818077,0.9,0.0,20000,1937,18063,1937,18063,1173,9097,8899,831,1135,9135,1135,9135,924,19076,924,19076,10270,9189,1081,0,0,9730,590,4545,4725,410,10270,122,10148,0,0,0,0,590,4545,13624,1241,0.11694154356608674,0.9177382911928125,600.4948262118554,4534.505173788144,13642.179698581158,1222.8203014188425,0.08834243618465099,0.7107,0.11489776046738072,0.3222282905516111
0.1,0.09105,0.9105,1.5099255583126552,0.39900990099009903,0.6683141131246568,1.6749311519997603,0.08950000000000002,1,0.5981410138581807,0.49814101385818077,1,0.0,20000,1937,18063,1937,18063,1214,8978,9002,806,1202,8990,1202,8990,735,19265,735,19265,10192,10192,0,0,0,9808,604,4649,4528,411,10192,0,10192,0,0,0,0,604,4649,13530,1217,0.11694154356608674,0.9177382911928125,614.2939283526537,4638.706071647346,13533.886580220405,1213.1134197795946,0.08629632593387604,0.7067,0.11498191509613555,0.3316858868753432
0.1,0.1087,1.087,1.6089159067882473,0.49473684210526314,0.7304507819687213,1.476443069936777,-0.08699999999999997,1,0.5,0.4,0.5,0.0,20000,1937,18063,1937,18063,1008,10833,7172,987,986,10855,986,10855,1424,18576,1424,18576,11841,5989,5852,0,0,8159,586,6432,4222,601,11841,473,11368,0,0,0,0,586,6432,11394,1588,0.0847457627118644,0.8780487804878049,594.7457627118644,6423.254237288135,11398.829268292682,1583.1707317073171,-0.08895824720959089,0.599,0.0834995725277857,0.26954921803127874
0.1,0.10675,1.0675,1.6029106029106028,0.4798004987531172,0.722248243559719,1.5053094889160463,-0.0674999999999999,1,0.5,0.4,0.7,0.0,20000,1937,18063,1937,18063,1043,10811,7184,962,947,10907,947,10907,1279,18721,1279,18721,11854,8268,3586,0,0,8146,593,6486,4195,580,11854,289,11565,0,0,0,0,593,6486,11379,1542,0.0847457627118644,0.8780487804878049,599.9152542372881,6479.0847457627115,11345.268292682927,1575.7317073170732,-0.0878234807771805,0.5986,0.08376889391156943,0.27775175644028105
