first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.0258,0.258,1.2358490566037736,0.052788844621513946,0.25387596899224807,4.809273072985228,0.742,1,0.9446244592584718,0.8446244592584717,0.9,0.0,20000,1937,18063,1937,18063,1902,2891,15101,106,1831,2962,1831,2962,308,19692,308,19692,4793,4314,479,0,0,15207,385,588,3795,25,4793,202,4591,0,0,0,0,385,588,18896,131,0.4031680389162867,0.9927679806677872,392.282501865547,580.717498134453,18889.396368165988,137.60363183401384,0.7350569331502197,0.96405,0.39568345323741005,0.7461240310077519
0.1,0.02175,0.21749999999999997,1.3211009174311927,0.054228855721393035,0.3310344827586207,6.104397342613097,0.7825,1,0.9446244592584718,0.8446244592584717,1,0.0,20000,1937,18063,1937,18063,1901,2698,15292,109,1829,2770,1829,2770,108,19892,108,19892,4599,4599,0,0,0,15401,291,419,3854,35,4599,0,4599,0,0,0,0,291,419,19146,144,0.4031680389162867,0.9927679806677872,286.2493076305636,423.7506923694364,19150.494347081614,139.5056529183858,0.7871225197255253,0.97185,0.4098591549295775,0.6689655172413793
0.1,0.03165,0.31649999999999995,err,0.0,0.0,err,0.6835,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,1956,1750,16294,0,1937,1769,1937,1769,931,19069,931,19069,3706,1880,1826,0,0,16294,633,583,2490,0,3706,931,2775,0,0,0,0,633,583,18784,0,0.5263157894736842,1.0,640.0,576.0,18784.0,0.0,0.6799999999999999,0.97085,0.5205592105263158,1.0
0.1,0.02345,0.2345,err,0.0,0.0,err,0.7655000000000001,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,1940,1741,16319,0,1937,1744,1937,1744,582,19418,582,19418,3681,2569,1112,0,0,16319,469,415,2797,0,3681,582,3099,0,0,0,0,469,415,19116,0,0.5263157894736842,1.0,465.2631578947368,418.7368421052632,19116.0,0.0,0.7673684210526316,0.97925,0.5305429864253394,1.0
0.1,0.01455,0.1455,err,0.0,0.0,err,0.8545,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1969,1735,16296,0,1937,1767,1937,1767,208,19792,208,19792,3704,3320,384,0,0,16296,291,288,3125,0,3704,208,3496,0,0,0,0,291,288,19421,0,0.5263157894736842,1.0,304.7368421052631,274.2631578947369,19421.0,0.0,0.8476315789473685,0.9856,0.5025906735751295,1.0
0.1,0.00965,0.0965,err,0.0,0.0,err,0.9035,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1953,1743,16304,0,1937,1759,1937,1759,0,20000,0,20000,3696,3696,0,0,0,16304,193,165,3338,0,3696,0,3696,0,0,0,0,193,165,19642,0,0.5263157894736842,1.0,188.42105263157893,169.57894736842107,19642.0,0.0,0.9057894736842106,0.99175,0.5391061452513967,1.0
0.1,0.032,0.32,err,0.0,0.0,err,0.6799999999999999,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,1975,1756,16269,0,1937,1794,1937,1794,972,19028,972,19028,3731,1847,1884,0,0,16269,640,581,2510,0,3731,972,2759,0,0,0,0,640,581,18779,0,0.5263157894736842,1.0,642.6315789473684,578.3684210526316,18779.0,0.0,0.6786842105263158,0.97095,0.5241605241605242,1.0
0.1,0.0225,0.22499999999999998,err,0.0,0.0,err,0.775,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,1990,1738,16272,0,1937,1791,1937,1791,561,19439,561,19439,3728,2625,1103,0,0,16272,450,427,2851,0,3728,561,3167,0,0,0,0,450,427,19123,0,0.5263157894736842,1.0,461.57894736842104,415.42105263157896,19123.0,0.0,0.7692105263157895,0.97865,0.5131128848346637,1.0
0.1,0.0166,0.16599999999999998,err,0.0,0.0,err,0.8340000000000001,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1976,1804,16220,0,1937,1843,1937,1843,220,19780,220,19780,3780,3401,379,0,0,16220,332,273,3175,0,3780,220,3560,0,0,0,0,332,273,19395,0,0.5263157894736842,1.0,318.4210526315789,286.5789473684211,19395.0,0.0,0.8407894736842105,0.98635,0.5487603305785124,1.0
0.1,0.0089,0.089,err,0.0,0.0,err,0.911,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1993,1773,16234,0,1937,1829,1937,1829,0,20000,0,20000,3766,3766,0,0,0,16234,178,173,3415,0,3766,0,3766,0,0,0,0,178,173,19649,0,0.5263157894736842,1.0,184.73684210526315,166.26315789473685,19649.0,0.0,0.9076315789473685,0.99135,0.5071225071225072,1.0
