prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.0054732160199782495,0.9999700439063987,1,0,10000,3035,6965,2112,4912,19,0,6965,3016,19,0,14,0,3016,6984,2098,4926,0,0,19,0,3016,6984,2098,4926,0,0,6984,3016,0.6984,err,0.0
0.5,0,0.004697448921182429,0.9999779339736329,1,0,10000,3035,6965,2112,4912,19,0,6965,3016,19,0,12,0,3016,6984,2100,4924,0,0,19,0,3016,6984,2100,4924,0,0,6984,3016,0.6984,err,0.0
0.5,0,1.0,0.0,1,0,10000,3035,6965,2112,4912,3035,6965,0,0,3035,6965,2112,4912,0,10000,0,7024,0,10000,0,0,0,10000,0,7024,0,10000,0,0,0.0,0.0,err
0.5,0,0.012087716985675494,0.9998538870980742,1,0,10000,3035,6965,2112,4912,48,0,6965,2987,48,0,39,0,2987,7013,2073,4951,0,0,48,0,2987,7013,2073,4951,0,0,7013,2987,0.7013,err,0.0
0.5,0,0.015449220828823834,0.9997613215757822,1,0,10000,3035,6965,2112,4912,40,2,6963,2995,40,2,29,1,2995,7005,2083,4941,0,0,42,0,2995,7005,2083,4941,0,0,7005,2995,0.7005,err,0.0
0.5,0,0.030685458303780482,0.999058402648687,1,0,10000,3035,6965,2112,4912,99,8,6957,2936,99,8,69,6,2936,7064,2043,4981,0,0,107,0,2936,7064,2043,4981,0,0,7064,2936,0.7064,err,0.0
0.5,0,0.057671818482012416,0.9966739613529778,1,0,10000,3035,6965,2112,4912,153,20,6945,2882,153,20,103,14,2882,7118,2009,5015,0,0,173,0,2882,7118,2009,5015,0,0,7118,2882,0.7118,err,0.0
0.5,0,0.019636392451535787,0.9996144120914893,1,0,10000,3035,6965,2112,4912,66,2,6963,2969,66,2,52,2,2969,7031,2060,4964,0,0,68,0,2969,7031,2060,4964,0,0,7031,2969,0.7031,err,0.0
0.5,0,0.002882401682252989,0.9999916917605421,1,0,10000,3035,6965,2112,4912,4,0,6965,3031,4,0,3,0,3031,6969,2109,4915,0,0,4,0,3031,6969,2109,4915,0,0,6969,3031,0.6969,err,0.0
0.5,0,0.02059833015352896,0.9995757087948862,1,0,10000,3035,6965,2112,4912,55,6,6959,2980,55,6,39,2,2980,7020,2073,4951,0,0,61,0,2980,7020,2073,4951,0,0,7020,2980,0.702,err,0.0
0.5,0,0.011847682956852318,0.9998596324085539,1,0,10000,3035,6965,2112,4912,27,0,6965,3008,27,0,22,0,3008,6992,2090,4934,0,0,27,0,3008,6992,2090,4934,0,0,6992,3008,0.6992,err,0.0
0.5,0,0.007558834800062015,0.9999428640164654,1,0,10000,3035,6965,2112,4912,25,0,6965,3010,25,0,13,0,3010,6990,2099,4925,0,0,25,0,3010,6990,2099,4925,0,0,6990,3010,0.699,err,0.0
0.5,0,0.01808322077005281,0.9996729971265815,1,0,10000,3035,6965,2112,4912,62,0,6965,2973,62,0,40,0,2973,7027,2072,4952,0,0,62,0,2973,7027,2072,4952,0,0,7027,2973,0.7027,err,0.0
0.5,0,0.0017617589485153004,0.9999968962054073,1,0,10000,3035,6965,2112,4912,5,0,6965,3030,5,0,4,0,3030,6970,2108,4916,0,0,5,0,3030,6970,2108,4916,0,0,6970,3030,0.697,err,0.0
0.5,0,0.0022110116582654406,0.999995111427447,1,0,10000,3035,6965,2112,4912,9,0,6965,3026,9,0,5,0,3026,6974,2107,4917,0,0,9,0,3026,6974,2107,4917,0,0,6974,3026,0.6974,err,0.0
0.5,0,0.02691097172825093,0.9992757996006413,1,0,10000,3035,6965,2112,4912,93,5,6960,2942,93,5,65,5,2942,7058,2047,4977,0,0,98,0,2942,7058,2047,4977,0,0,7058,2942,0.7058,err,0.0
0.5,0,0.012505256972971954,0.9998436185480399,1,0,10000,3035,6965,2112,4912,43,1,6964,2992,43,1,33,1,2992,7008,2079,4945,0,0,44,0,2992,7008,2079,4945,0,0,7008,2992,0.7008,err,0.0
0.5,0,0.02226124931975284,0.9995044367787238,1,0,10000,3035,6965,2112,4912,63,6,6959,2972,63,6,51,3,2972,7028,2061,4963,0,0,69,0,2972,7028,2061,4963,0,0,7028,2972,0.7028,err,0.0
0.5,0,0.02360974644031839,0.9994425798730239,1,0,10000,3035,6965,2112,4912,68,3,6962,2967,68,3,41,3,2967,7033,2071,4953,0,0,71,0,2967,7033,2071,4953,0,0,7033,2967,0.7033,err,0.0
0.5,0,0.18837408960012517,0.964515202367324,1,0,10000,3035,6965,2112,4912,578,242,6723,2457,578,242,399,178,2457,7543,1713,5311,0,32,788,0,2457,7543,1713,5311,0,32,7511,2457,0.7511,0.0,0.0
0.5,0,0.009501009795785567,0.9999097308128604,1,0,10000,3035,6965,2112,4912,21,2,6963,3014,21,2,12,1,3014,6986,2100,4924,0,0,23,0,3014,6986,2100,4924,0,0,6986,3014,0.6986,err,0.0
0.5,0,0.012334990764587259,0.9998478480028375,1,0,10000,3035,6965,2112,4912,41,3,6962,2994,41,3,23,2,2994,7006,2089,4935,0,0,44,0,2994,7006,2089,4935,0,0,7006,2994,0.7006,err,0.0
